continent;country;domain;size_bytes;height_px;width_px
Südamerika;Brasilien;vivo.com.br;1386242;7708;1920
Europa;Frankreich;pagesjaunes.fr;1979182;5196;1920
Südamerika;Peru;larepublica.pe;359865;1080;1920
Europa;Belgien;nieuwsblad.be;3281978;10398;1920
Europa;Italien;tripadvisor.it;8699;1080;1920
Europa;Frankreich;tf1info.fr;1736834;1080;1920
Europa;Frankreich;ameli.fr;872635;3801;1920
Europa;Frankreich;lequipe.fr;1742237;13096;1920
Südamerika;Kolumbien;game8.co;6672227;9010;1920
Europa;Frankreich;sudouest.fr;3889874;20242;1920
Ozeanien;Tonga;1337x.to;523979;1080;1920
Asien;Malaysia;lazada.com.my;28877;1080;1920
Nordamerika;Mexiko;walmart.com.mx;25231;1080;1920
Ozeanien;Australien;theaustralian.com.au;3342518;15754;1920
Europa;Italien;agenziaentrate.gov.it;243397;1080;1920
Europa;Niederlande;funda.nl;895885;3322;1920
Asien;Indien;bajajfinserv.in;2037399;7449;1905
Europa;Schweden;amazon.se;47472;1080;1920
Afrika;Südafrika;iol.co.za;2192682;6626;4000
Ozeanien;Mikronesien;omny.fm;113441;1080;1920
Nordamerika;Mexiko;liverpool.com.mx;1579555;4744;4000
Europa;Niederlande;nos.nl;2695819;6500;1920
Europa;Niederlande;buienradar.nl;216257;1080;1920
Europa;Deutschland;eventim.de;1393673;8357;1920
Nordamerika;Kanada;mcgill.ca;1408080;3513;1920
Südamerika;Brasilien;webmotors.com.br;29694;1080;1920
Europa;Spanien;lavozdegalicia.es;3896374;21736;1920
Europa;Frankreich;laposte.fr;1154316;5786;1920
Europa;Deutschland;immowelt.de;1573223;5204;1920
Europa;Frankreich;letelegramme.fr;3253405;15398;1920
Ozeanien;Mikronesien;setlist.fm;1106826;4853;1944
Südamerika;Brasilien;privacy.com.br;6836241;10067;1920
Europa;Italien;tim.it;1510260;10498;1920
Nordamerika;Mexiko;elfinanciero.com.mx;1120351;2871;1920
Südamerika;Uruguay;elpais.com.uy;6952497;12130;3840
Südamerika;Brasilien;serasa.com.br;13559;1080;1920
Ozeanien;Australien;seek.com.au;479636;2527;1920
Europa;UK;birminghammail.co.uk;17584554;28771;1920
Europa;Deutschland;tchibo.de;2611246;12824;1920
Europa;Deutschland;sport1.de;26961;1080;1920
Europa;Deutschland;thalia.de;2609762;6860;1920
Asien;Japan;nhk.jp;2063359;4870;1920
Nordamerika;Kanada;costco.ca;3490087;5678;1920
Europa;Österreich;kleinezeitung.at;2033431;14268;1920
Südamerika;Argentinien;tn.com.ar;3027797;19988;1920
Europa;Italien;inps.it;975592;6631;1920
Europa;Spanien;freepik.es;2679568;6057;1920
Europa;Frankreich;lepoint.fr;3616977;26166;1920
Europa;UK;next.co.uk;3391303;4514;1920
Europa;Schweden;blocket.se;1673538;2352;1920
Europa;Deutschland;chefkoch.de;476958;1080;1920
Südamerika;Brasilien;cifraclub.com.br;1102512;5585;1920
Europa;Frankreich;francetravail.fr;1702386;3801;1920
Europa;Polen;money.pl;2122620;11730;1920
Nordamerika;Kanada;ebay.ca;760981;3365;1920
Europa;Spanien;tripadvisor.es;8588;1080;1920
Südamerika;Chile;mercadolibre.cl;1230728;4114;1920
Südamerika;Brasilien;otempo.com.br;2941984;12048;1920
Ozeanien;Tonga;4pda.to;102212;1080;1920
Europa;UK;tui.co.uk;1461875;6327;1920
Nordamerika;Mexiko;yts.mx;2636728;3040;1920
Europa;UK;national-lottery.co.uk;1311796;4632;1920
Asien;Japan;yomiuri.co.jp;2584970;9506;1920
Europa;UK;tfl.gov.uk;443357;2290;1920
Europa;Frankreich;tripadvisor.fr;48952;1080;1920
Ozeanien;Australien;theiconic.com.au;3198144;5933;1920
Ozeanien;Tuvalu;france.tv;3947331;9176;1920
Europa;UK;currys.co.uk;1244080;4115;1920
Europa;Italien;la7.it;5632183;9337;1920
Südamerika;Kolumbien;convertio.co;190286;2181;1920
Afrika;Südafrika;amazon.co.za;1309438;2089;1920
Europa;Spanien;boe.es;558945;1883;1920
Südamerika;Argentinien;mercadopago.com.ar;1776806;5385;1920
Asien;Malaysia;shopee.com.my;444663;1820;4000
Europa;Deutschland;dhl.de;420114;2919;1920
Europa;Frankreich;sfr.fr;1391700;5174;1920
Europa;Deutschland;fussball.de;1420594;2885;1920
Europa;Frankreich;decathlon.fr;2122471;23540;1920
Europa;Belgien;sporza.be;9279980;9501;1920
Europa;Belgien;dhnet.be;2529338;17162;1920
Europa;Polen;ceneo.pl;3101939;9792;1920
Europa;Frankreich;carrefour.fr;2203179;3884;1920
Europa;Niederlande;destentor.nl;414257;1080;1920
Europa;Frankreich;leprogres.fr;1303838;25098;1920
Asien;Südkorea;hani.co.kr;2550260;12608;1920
Nordamerika;USA;rule34.us;176989;1080;1920
Nordamerika;Mexiko;caliente.mx;1258106;3878;1920
Europa;Deutschland;arbeitsagentur.de;918756;4303;1920
Europa;Deutschland;swr.de;1570932;10302;1920
Ozeanien;Mikronesien;castbox.fm;1034755;1986;1920
Asien;Japan;huffingtonpost.jp;2225722;9356;1920
Europa;Frankreich;journaldesfemmes.fr;2033438;11371;1920
Europa;Italien;vanityfair.it;3470881;12941;1920
Asien;Japan;suumo.jp;1283179;3869;1920
Südamerika;Brasilien;espn.com.br;1511522;6251;1920
Europa;UK;dailyrecord.co.uk;4454756;26062;1920
Europa;Polen;amazon.pl;63115;1080;1920
Europa;Polen;centrum24.pl;150124;1080;1920
Europa;Belgien;sudinfo.be;5812069;22706;1920
Europa;Deutschland;morgenpost.de;3246671;16203;1965
Europa;UK;ancestry.co.uk;1215061;2985;1920
Südamerika;Chile;biobiochile.cl;7926234;21966;1920
